		As the prediction, in the year 2108, the revenues will likely exceed $1 trillion!

	The table of estimated revenues from 1984 to the year when the income may exceed $1 trillion

					The year					The estimated revenues
					  1984						       203.2650
					  1985						       217.6968
					  1986						       233.1533
					  1987						       249.7072
					  1988						       267.4364
					  1989						       286.4244
					  1990						       306.7605
					  1991						       328.5405
					  1992						       351.8669
					  1993						       376.8494
					  1994						       403.6057
					  1995						       432.2617
					  1996						       462.9523
					  1997						       495.8219
					  1998						       531.0253
					  1999						       568.7281
					  2000						       609.1078
					  2001						       652.3544
					  2002						       698.6716
					  2003						       748.2773
					  2004						       801.4050
					  2005						       858.3047
					  2006						       919.2443
					  2007						       984.5107
					  2008						      1054.4109
					  2009						      1129.2741
					  2010						      1209.4526
					  2011						      1295.3237
					  2012						      1387.2917
					  2013						      1485.7894
					  2014						      1591.2805
					  2015						      1704.2614
					  2016						      1825.2639
					  2017						      1954.8577
					  2018						      2093.6526
					  2019						      2242.3019
					  2020						      2401.5053
					  2021						      2572.0122
					  2022						      2754.6251
					  2023						      2950.2035
					  2024						      3159.6679
					  2025						      3384.0043
					  2026						      3624.2686
					  2027						      3881.5917
					  2028						      4157.1847
					  2029						      4452.3448
					  2030						      4768.4613
					  2031						      5107.0221
					  2032						      5469.6206
					  2033						      5857.9637
					  2034						      6273.8791
					  2035						      6719.3245
					  2036						      7196.3966
					  2037						      7707.3407
					  2038						      8254.5619
					  2039						      8840.6358
					  2040						      9468.3210
					  2041						     10140.5717
					  2042						     10860.5523
					  2043						     11631.6515
					  2044						     12457.4988
					  2045						     13341.9812
					  2046						     14289.2619
					  2047						     15303.7995
					  2048						     16390.3692
					  2049						     17554.0855
					  2050						     18800.4255
					  2051						     20135.2557
					  2052						     21564.8589
					  2053						     23095.9639
					  2054						     24735.7773
					  2055						     26492.0175
					  2056						     28372.9508
					  2057						     30387.4303
					  2058						     32544.9378
					  2059						     34855.6284
					  2060						     37330.3780
					  2061						     39980.8348
					  2062						     42819.4741
					  2063						     45859.6568
					  2064						     49115.6924
					  2065						     52602.9066
					  2066						     56337.7129
					  2067						     60337.6906
					  2068						     64621.6666
					  2069						     69209.8049
					  2070						     74123.7011
					  2071						     79386.4838
					  2072						     85022.9242
					  2073						     91059.5518
					  2074						     97524.7800
					  2075						    104449.0394
					  2076						    111864.9212
					  2077						    119807.3306
					  2078						    128313.6510
					  2079						    137423.9202
					  2080						    147181.0186
					  2081						    157630.8709
					  2082						    168822.6627
					  2083						    180809.0718
					  2084						    193646.5159
					  2085						    207395.4185
					  2086						    222120.4932
					  2087						    237891.0483
					  2088						    254781.3127
					  2089						    272870.7859
					  2090						    292244.6117
					  2091						    312993.9791
					  2092						    335216.5516
					  2093						    359016.9268
					  2094						    384507.1286
					  2095						    411807.1347
					  2096						    441045.4413
					  2097						    472359.6676
					  2098						    505897.2040
					  2099						    541815.9055
					  2100						    580284.8348
					  2101						    621485.0581
					  2102						    665610.4972
					  2103						    712868.8425
					  2104						    763482.5303
					  2105						    817689.7900
					  2106						    875745.7650
					  2107						    937923.7144
					  2108						   1004516.2981
